Sample_ID,Y2015,Y2016,BLM,ROCK,NO_SPECIES,DAYS,NO3,NH4,PMN,FAB,MUS,OAT,PEA,PTT,SPW,WEEDS,TOT_MASS,Biomass
BLM15-114-D07,1,0,1,0,5,7,28.3,7.11,86.92,0,469.5985323,10.59066105,0,31.23329154,3.000140548,2.338423762,516.7610492,Yes
BLM15-114-D34,1,0,1,0,5,34,14.485,7.595,94.7,0,469.5985323,10.59066105,0,31.23329154,3.000140548,2.338423762,516.7610492,Yes
BLM15-201-D03,1,0,1,0,1,3,16.48,5.085,55.305,29.66213254,0,0,0,0,0,296.8066012,326.4687337,Yes
BLM15-201-D07,1,0,1,0,1,7,25.865,6.55,83.94,29.66213254,0,0,0,0,0,296.8066012,326.4687337,Yes
BLM15-201-D34,1,0,1,0,1,34,12.905,4.695,76.275,29.66213254,0,0,0,0,0,296.8066012,326.4687337,Yes
BLM15-203-D03,1,0,1,0,1,3,25.7,4.85,65.25,0,0,341.8138645,0,0,0,81.58500681,423.3988713,Yes
BLM15-203-D07,1,0,1,0,1,7,21.205,7.775,98.295,0,0,341.8138645,0,0,0,81.58500681,423.3988713,Yes
BLM15-203-D34,1,0,1,0,1,34,12.43,5.855,91.43,0,0,341.8138645,0,0,0,81.58500681,423.3988713,Yes
BLM15-204-D03,1,0,1,0,5,3,22.285,4.295,72.185,0,60.21052632,49.53840296,6.323268971,98.79466687,23.43777922,144.9946459,383.2992902,Yes
BLM15-204-D07,1,0,1,0,5,7,26.71,6.77,86.16,0,60.21052632,49.53840296,6.323268971,98.79466687,23.43777922,144.9946459,383.2992902,Yes
BLM15-204-D34,1,0,1,0,5,34,14.275,4.87,75.91,0,60.21052632,49.53840296,6.323268971,98.79466687,23.43777922,144.9946459,383.2992902,Yes
BLM15-205-D03,1,0,1,0,1,3,29.115,7.045,78.205,0,0,0,111.4196366,0,0,270.0198951,381.4395317,Yes
BLM15-205-D07,1,0,1,0,1,7,32.57,6.69,69.51,0,0,0,111.4196366,0,0,270.0198951,381.4395317,Yes
BLM15-205-D34,1,0,1,0,1,34,10.28,7.135,76.935,0,0,0,111.4196366,0,0,270.0198951,381.4395317,Yes
BLM15-206-D03,1,0,1,0,1,3,27.89,6.13,82.5,0,0,0,0,0,224.7354191,49.84925575,274.5846748,Yes
BLM15-206-D07,1,0,1,0,1,7,17.955,6.32,80.175,0,0,0,0,0,224.7354191,49.84925575,274.5846748,Yes
BLM15-206-D34,1,0,1,0,1,34,14.705,7.005,79.66,0,0,0,0,0,224.7354191,49.84925575,274.5846748,Yes
BLM15-207-D03,1,0,1,0,1,3,25.58,4.545,68.355,0,0,0,0,106.7322055,0,200.9807174,307.7129229,Yes
BLM15-207-D07,1,0,1,0,1,7,16.76,6.165,73.945,0,0,0,0,106.7322055,0,200.9807174,307.7129229,Yes
BLM15-207-D34,1,0,1,0,1,34,16.41,7.58,88.87,0,0,0,0,106.7322055,0,200.9807174,307.7129229,Yes
BLM15-208-D03,1,0,1,0,5,3,28.14,6.945,74.67,1.985178134,1098.894737,50.93337939,0,22.09589242,45.84057545,55.78810975,1275.537872,Yes
BLM15-208-D07,1,0,1,0,5,7,29.325,6.505,62.295,1.985178134,1098.894737,50.93337939,0,22.09589242,45.84057545,55.78810975,1275.537872,Yes
BLM15-208-D34,1,0,1,0,5,34,16.24,7.41,79.31,1.985178134,1098.894737,50.93337939,0,22.09589242,45.84057545,55.78810975,1275.537872,Yes
BLM15-209-D03,1,0,1,0,5,3,25.465,7.28,70.845,6.554238918,6.894736842,24.9868178,34.61709971,0,31.75694624,103.7938462,208.6036858,Yes
BLM15-209-D07,1,0,1,0,5,7,23.835,6.96,86.945,6.554238918,6.894736842,24.9868178,34.61709971,0,31.75694624,103.7938462,208.6036858,Yes
BLM15-209-D34,1,0,1,0,5,34,11.775,5.75,80.77,6.554238918,6.894736842,24.9868178,34.61709971,0,31.75694624,103.7938462,208.6036858,Yes
BLM15-210-D03,1,0,1,0,1,3,33.09,8.975,70.09,0,0,0,0,0,0,504.542765,504.542765,Yes
BLM15-210-D07,1,0,1,0,1,7,23.445,6.16,71.675,0,0,0,0,0,0,504.542765,504.542765,Yes
BLM15-210-D34,1,0,1,0,1,34,12.455,5.56,77.87,0,0,0,0,0,0,504.542765,504.542765,Yes
BLM15-211-D03,1,0,1,0,5,3,18.295,7.985,54.76,0,0,47.41803879,1.32201088,84.62708339,22.65171619,163.8628799,319.8817292,Yes
BLM15-211-D07,1,0,1,0,5,7,23.22,7.705,86.065,0,0,47.41803879,1.32201088,84.62708339,22.65171619,163.8628799,319.8817292,Yes
BLM15-211-D34,1,0,1,0,5,34,12.68,6.15,74.98,0,0,47.41803879,1.32201088,84.62708339,22.65171619,163.8628799,319.8817292,Yes
BLM15-212-D03,1,0,1,0,1,3,32.9,6.345,71.27,0,2257.842105,0,0,0,0,26.83619651,2284.678302,Yes
BLM15-212-D07,1,0,1,0,1,7,30.62,7.435,82.5,0,2257.842105,0,0,0,0,26.83619651,2284.678302,Yes
BLM15-212-D34,1,0,1,0,1,34,14.135,5.275,88.47,0,2257.842105,0,0,0,0,26.83619651,2284.678302,Yes
BLM15-213-D03,1,0,1,0,5,3,24.47,7.295,80.145,0,286.5263158,74.25738529,33.0083034,41.29366028,0,112.454675,547.5403397,Yes
BLM15-213-D07,1,0,1,0,5,7,23.975,7.015,53.51,0,286.5263158,74.25738529,33.0083034,41.29366028,0,112.454675,547.5403397,Yes
BLM15-213-D34,1,0,1,0,5,34,16.27,6.375,82.99,0,286.5263158,74.25738529,33.0083034,41.29366028,0,112.454675,547.5403397,Yes
BLM15-214-D03,1,0,1,0,5,3,47.685,9.17,117.38,0,584.9473684,0,11.91908222,16.65037173,22.9137372,162.7493448,799.1799044,Yes
BLM15-214-D07,1,0,1,0,5,7,30.135,6.905,62.525,0,584.9473684,0,11.91908222,16.65037173,22.9137372,162.7493448,799.1799044,Yes
BLM15-214-D34,1,0,1,0,5,34,14.995,6.36,93.955,0,584.9473684,0,11.91908222,16.65037173,22.9137372,162.7493448,799.1799044,Yes
BLM15-301-D03,1,0,1,0,1,3,18.295,6.275,57.2,0,0,0,0,95.26315789,0,178.9473684,274.2105263,Yes
BLM15-301-D07,1,0,1,0,1,7,15.52,5.59,52.945,0,0,0,0,95.26315789,0,178.9473684,274.2105263,Yes
BLM15-301-D34,1,0,1,0,1,34,14.68,5.825,73.16,0,0,0,0,95.26315789,0,178.9473684,274.2105263,Yes
BLM15-302-D03,1,0,1,0,1,3,28.955,6.755,89.38,43.42105263,0,0,0,0,0,313.1578947,356.5789474,Yes
BLM15-302-D07,1,0,1,0,1,7,23.405,7.025,62.01,43.42105263,0,0,0,0,0,313.1578947,356.5789474,Yes
BLM15-302-D34,1,0,1,0,1,34,13.47,6.91,86.865,43.42105263,0,0,0,0,0,313.1578947,356.5789474,Yes
BLM15-303-D03,1,0,1,0,5,3,26.115,7.4,70.905,0,0,41.31578947,0,240.5263158,31.31578947,47.63157895,360.7894737,Yes
BLM15-303-D07,1,0,1,0,5,7,28.915,7.85,64.505,0,0,41.31578947,0,240.5263158,31.31578947,47.63157895,360.7894737,Yes
BLM15-303-D34,1,0,1,0,5,34,17.855,9.44,77.94,0,0,41.31578947,0,240.5263158,31.31578947,47.63157895,360.7894737,Yes
BLM15-304-D03,1,0,1,0,1,3,39.595,9.315,93.89,0,0,0,54.73684211,0,0,111.0526316,165.7894737,Yes
BLM15-304-D07,1,0,1,0,1,7,29.255,6.15,48.015,0,0,0,54.73684211,0,0,111.0526316,165.7894737,Yes
BLM15-304-D34,1,0,1,0,1,34,14.75,6.765,75.44,0,0,0,54.73684211,0,0,111.0526316,165.7894737,Yes
BLM15-306-D03,1,0,1,0,5,3,20.82,6.965,73.305,0,172.1052632,80.78947368,36.05263158,31.31578947,0,4.052631579,324.3157895,Yes
BLM15-306-D07,1,0,1,0,5,7,26.005,7.39,51.54,0,172.1052632,80.78947368,36.05263158,31.31578947,0,4.052631579,324.3157895,Yes
BLM15-306-D34,1,0,1,0,5,34,16.095,8.71,80.24,0,172.1052632,80.78947368,36.05263158,31.31578947,0,4.052631579,324.3157895,Yes
BLM15-307-D03,1,0,1,0,1,3,23.13,7.88,52.73,0,0,0,0,0,301.0526316,50,351.0526316,Yes
BLM15-307-D07,1,0,1,0,1,7,25.825,6.895,59.25,0,0,0,0,0,301.0526316,50,351.0526316,Yes
BLM15-307-D34,1,0,1,0,1,34,14.645,9.025,93.57,0,0,0,0,0,301.0526316,50,351.0526316,Yes
BLM15-308-D03,1,0,1,0,1,3,13.405,11.15,86.565,0,0,289.7368421,0,0,0,58.42105263,348.1578947,Yes
BLM15-308-D07,1,0,1,0,1,7,19.475,7.035,47.585,0,0,289.7368421,0,0,0,58.42105263,348.1578947,Yes
BLM15-308-D34,1,0,1,0,1,34,18.405,8.245,84.395,0,0,289.7368421,0,0,0,58.42105263,348.1578947,Yes
BLM15-309-D03,1,0,1,0,5,3,19.935,8.82,75.295,27.63157895,187.1052632,74.47368421,0,43.94736842,82.63157895,125.2631579,541.0526316,Yes
BLM15-309-D07,1,0,1,0,5,7,22.72,7.34,65.465,27.63157895,187.1052632,74.47368421,0,43.94736842,82.63157895,125.2631579,541.0526316,Yes
BLM15-309-D34,1,0,1,0,5,34,12.07,9.895,91.295,27.63157895,187.1052632,74.47368421,0,43.94736842,82.63157895,125.2631579,541.0526316,Yes
BLM15-310-D03,1,0,1,0,5,3,19.625,8.7,77.11,0,72.36842105,0,53.42105263,44.47368421,50.52631579,146.0526316,366.8421053,Yes
BLM15-310-D07,1,0,1,0,5,7,17.98,6.495,40.52,0,72.36842105,0,53.42105263,44.47368421,50.52631579,146.0526316,366.8421053,Yes
BLM15-310-D34,1,0,1,0,5,34,12.79,7.985,77.64,0,72.36842105,0,53.42105263,44.47368421,50.52631579,146.0526316,366.8421053,Yes
BLM15-311-D03,1,0,1,0,1,3,22.09,9.57,91.565,0,234.2105263,0,0,0,0,56.31578947,290.5263158,Yes
BLM15-311-D07,1,0,1,0,1,7,18.475,7.19,55.26,0,234.2105263,0,0,0,0,56.31578947,290.5263158,Yes
BLM15-311-D34,1,0,1,0,1,34,14.19,10.3,95.57,0,234.2105263,0,0,0,0,56.31578947,290.5263158,Yes
BLM15-312-D03,1,0,1,0,5,3,30.455,9.925,117.745,43.42105263,0,74.73684211,0,27.10526316,32.63157895,143.1578947,321.0526316,Yes
BLM15-312-D07,1,0,1,0,5,7,22.21,7.545,50.28,43.42105263,0,74.73684211,0,27.10526316,32.63157895,143.1578947,321.0526316,Yes
BLM15-312-D34,1,0,1,0,5,34,15.14,7.335,71.835,43.42105263,0,74.73684211,0,27.10526316,32.63157895,143.1578947,321.0526316,Yes
BLM15-313-D03,1,0,1,0,1,3,23.09,9.8,64.71,0,0,0,0,0,0,242.3684211,242.3684211,Yes
BLM15-313-D07,1,0,1,0,1,7,20.74,6.945,54.605,0,0,0,0,0,0,242.3684211,242.3684211,Yes
BLM15-313-D34,1,0,1,0,1,34,16.51,8.79,84.4,0,0,0,0,0,0,242.3684211,242.3684211,Yes
BLM15-314-D03,1,0,1,0,5,3,21.32,8.855,64.275,34.73684211,307.3684211,43.42105263,51.05263158,0,36.57894737,62.10526316,535.2631579,Yes
BLM15-314-D07,1,0,1,0,5,7,20.94,5.835,52.325,34.73684211,307.3684211,43.42105263,51.05263158,0,36.57894737,62.10526316,535.2631579,Yes
BLM15-314-D34,1,0,1,0,5,34,15.695,8.005,90.03,34.73684211,307.3684211,43.42105263,51.05263158,0,36.57894737,62.10526316,535.2631579,Yes
BLM15-401-D03,1,0,1,0,5,3,21.78,6.5,50.395,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-401-D07,1,0,1,0,5,7,27.325,6.815,55.69,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-401-D34,1,0,1,0,5,34,13.75,6.73,77.88,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-402-D03,1,0,1,0,1,3,20.96,5.365,57.325,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-402-D07,1,0,1,0,1,7,19.345,6.185,52.795,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-402-D34,1,0,1,0,1,34,11.805,6.14,63.655,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-404-D03,1,0,1,0,5,3,28.45,5.94,84.95,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-404-D07,1,0,1,0,5,7,15.39,4.21,43.09,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-404-D34,1,0,1,0,5,34,13.3,6.73,63.415,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-405-D03,1,0,1,0,1,3,21.275,6.475,58.395,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-405-D07,1,0,1,0,1,7,17.4,6.505,65.895,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-405-D34,1,0,1,0,1,34,14.67,7.745,55.295,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-406-D03,1,0,1,0,1,3,31.335,16.53,89.015,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-406-D07,1,0,1,0,1,7,16.805,6.57,52.34,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-406-D34,1,0,1,0,1,34,11.33,7.045,64.125,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-407-D03,1,0,1,0,1,3,20.6,6.26,66.88,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-407-D07,1,0,1,0,1,7,17.23,6.835,54.71,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-407-D34,1,0,1,0,1,34,10.99,7.33,71.665,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-408-D03,1,0,1,0,5,3,27.085,6.325,77.455,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-408-D07,1,0,1,0,5,7,19.925,6.34,49.145,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-408-D34,1,0,1,0,5,34,17.865,7.875,79.78,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-409-D03,1,0,1,0,1,3,19.185,8.555,67.095,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-409-D07,1,0,1,0,1,7,16.865,6.465,74.645,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-409-D34,1,0,1,0,1,34,14.305,6.615,80.71,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-410-D03,1,0,1,0,5,3,22.58,7.27,49.74,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-410-D07,1,0,1,0,5,7,17.195,5.04,62.115,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-410-D34,1,0,1,0,5,34,11.03,7.13,69.795,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-411-D03,1,0,1,0,5,3,22.36,10.835,60.73,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-411-D07,1,0,1,0,5,7,21.59,7.13,81.965,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-411-D34,1,0,1,0,5,34,15.555,7.81,76.19,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-412-D03,1,0,1,0,1,3,20.36,8.82,91.105,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-412-D07,1,0,1,0,1,7,25.635,6.88,74.02,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-412-D34,1,0,1,0,1,34,12.37,8.62,74.07,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-413-D03,1,0,1,0,5,3,22.73,7.35,67.01,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-413-D07,1,0,1,0,5,7,17.23,5.04,79.095,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-413-D34,1,0,1,0,5,34,14.195,8.595,80.885,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-414-D03,1,0,1,0,1,3,19.97,10.945,62.215,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-414-D07,1,0,1,0,1,7,16.76,5.735,67.745,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-414-D34,1,0,1,0,1,34,13.595,7.475,70.075,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM15-WF1-D03,1,0,1,0,0,3,26.92,7.47,51.305,0,0,0,0,0,0,0,0,Yes
BLM15-WF1-D07,1,0,1,0,0,7,19.845,6.58,64.185,0,0,0,0,0,0,0,0,Yes
BLM15-WF1-D34,1,0,1,0,0,34,11.24,7.66,69.645,0,0,0,0,0,0,0,0,Yes
BLM15-WF2-D03,1,0,1,0,0,3,39.6,6.18,73.4,0,0,0,0,0,0,0,0,Yes
BLM15-WF2-D07,1,0,1,0,0,7,26.985,6.115,63.53,0,0,0,0,0,0,0,0,Yes
BLM15-WF2-D34,1,0,1,0,0,34,12.045,6.67,95.355,0,0,0,0,0,0,0,0,Yes
BLM15-WF3-D03,1,0,1,0,0,3,32.965,8.095,56.485,0,0,0,0,0,0,0,0,Yes
BLM15-WF3-D07,1,0,1,0,0,7,NA,NA,NA,0,0,0,0,0,0,0,0,Yes
BLM15-WF3-D34,1,0,1,0,0,34,12.06,7.575,82.165,0,0,0,0,0,0,0,0,Yes
BLM15-WF4-D03,1,0,1,0,0,3,40.425,5.05,68.98,0,0,0,0,0,0,0,0,Yes
BLM15-WF4-D07,1,0,1,0,0,7,15.54,5.73,83.9,0,0,0,0,0,0,0,0,Yes
BLM15-WF4-D34,1,0,1,0,0,34,14.075,6.95,87.645,0,0,0,0,0,0,0,0,Yes
BLM16-105-D02,0,1,1,0,0,2,24.54,4.695,60.71,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-105-D17,0,1,1,0,0,17,18.77,12.795,63.995,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-105-D33,0,1,1,0,0,33,18.9,11.885,72.315,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-107-D02,0,1,1,0,1,2,5.675,4.76,62.43,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-107-D17,0,1,1,0,1,17,13.385,11.365,72.07,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-107-D33,0,1,1,0,1,33,19.225,4.175,70.105,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-109-D02,0,1,1,0,1,2,3.565,4.585,71.415,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-109-D17,0,1,1,0,1,17,12.955,11.155,94.345,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-109-D33,0,1,1,0,1,33,5.965,2.875,74.78,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-112-D02,0,1,1,0,1,2,3.77,4.54,72.52,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-112-D17,0,1,1,0,1,17,13.41,10.26,91.05,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-112-D33,0,1,1,0,1,33,4.12,2.535,83.45,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-202-D02,0,1,1,0,1,2,7.38,6.2,70.935,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-202-D17,0,1,1,0,1,17,16.365,10.335,84.965,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-202-D33,0,1,1,0,1,33,6.77,3.795,78.045,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-203-D02,0,1,1,0,1,2,5.79,5.4,76.025,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-203-D17,0,1,1,0,1,17,18.22,11.995,80.445,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-203-D33,0,1,1,0,1,33,7.475,3.64,74.485,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-209-D02,0,1,1,0,0,2,16.18,4.2,60.29,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-209-D17,0,1,1,0,0,17,18.975,12.895,62.52,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-209-D33,0,1,1,0,0,33,15.96,6.03,57.535,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-212-D02,0,1,1,0,1,2,2.905,4.195,70.39,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-212-D17,0,1,1,0,1,17,8.695,7.625,75.395,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-212-D33,0,1,1,0,1,33,2.91,2.675,55.265,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-302-D02,0,1,1,0,1,2,3.645,4.215,66.25,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-302-D17,0,1,1,0,1,17,5.325,4.305,107.2,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-302-D33,0,1,1,0,1,33,3.685,3.505,67.06,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-303-D02,0,1,1,0,0,2,18.44,5.79,74.485,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-303-D17,0,1,1,0,0,17,19.275,8.555,71.805,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-303-D33,0,1,1,0,0,33,3.18,3.615,63.735,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-307-D02,0,1,1,0,1,2,3.53,6.2,74.955,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-307-D17,0,1,1,0,1,17,10.795,9.855,98.315,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-307-D33,0,1,1,0,1,33,4.835,3.53,78.56,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-313-D02,0,1,1,0,1,2,6.2,5.01,79.42,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-313-D17,0,1,1,0,1,17,11.82,9.09,93.68,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-313-D33,0,1,1,0,1,33,5.395,3.41,86.36,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-401-D02,0,1,1,0,1,2,3.51,5.285,74.27,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-401-D17,0,1,1,0,1,17,11.035,10.29,94.65,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-401-D33,0,1,1,0,1,33,6.14,3.91,87.03,NA,NA,NA,NA,NA,NA,NA,NA,No
BLM16-406-D02,0,1,1,0,1,2,2.495,5.12,78.915,NA,NA,NA,NA,NA,NA,NA,NA,No
